Channel,Time Coarse (u=ns),T.o.t. coarse (u=ns),Time fine (u=ns),T.o.t. fine (u=ns),Event time (ns),Event t.o.t. (ns),Energy (u= ADC channels),Acquisition time,Date
0,384142495,15,2.2965557390730877,1.4591054201222111,384142492.70344424,15.837450318950875,347,11:51:14,2023-11-22
0,384170850,5,3.2169318268035463,5.0,384170846.7830682,3.2169318268035463,311,11:51:14,2023-11-22
0,384450755,5,3.2169318268035463,0.229780323678236,384450751.7830682,7.98715150312531,318,11:51:14,2023-11-22
0,385159010,5,3.2169318268035463,0.5426031410679164,385159006.7830682,7.67432868573563,315,11:51:14,2023-11-22
0,385990525,5,1.1463190792737374,0.5426031410679164,385990523.8536809,5.603715938205822,313,11:51:14,2023-11-22
0,386275935,5,1.766748568660523,3.586833135873657,386275933.23325145,3.179915432786866,312,11:51:14,2023-11-22
0,386655265,5,4.140167675364619,4.404031679146508,386655260.85983235,4.7361359962181115,311,11:51:14,2023-11-22
0,387741485,10,2.9171311346247,4.990056494867021,387741482.0828689,7.927074639757679,316,11:51:14,2023-11-22
0,388000870,10,2.9171311346247,1.7618023496728783,388000867.0828689,11.155328784951822,323,11:51:14,2023-11-22
0,388397975,5,1.1463190792737374,3.223709168159773,388397973.8536809,2.9226099111139643,310,11:51:14,2023-11-22
0,388519440,5,2.0417889846681803,0.229780323678236,388519437.958211,6.812008660989944,314,11:51:14,2023-11-22
0,388805845,5,4.140167675364619,5.0,388805840.85983235,4.140167675364619,309,11:51:14,2023-11-22
0,389480645,5,4.996279392796905,5.0,389480640.0037206,4.996279392796905,311,11:51:14,2023-11-22
0,391105330,5,3.575802629812715,3.859218059681458,391105326.4241974,4.716584570131257,310,11:51:14,2023-11-22
0,391776115,5,2.9171311346247,4.990056494867021,391776112.0828689,2.927074639757679,310,11:51:14,2023-11-22
0,392088630,5,4.697047734660885,5.0,392088625.3029523,4.697047734660885,305,11:51:14,2023-11-22
0,392569675,5,0.5512480813339325,3.859218059681458,392569674.4487519,1.6920300216524748,309,11:51:14,2023-11-22
0,393178115,5,4.393103307400945,5.0,393178110.6068967,4.393103307400945,310,11:51:14,2023-11-22
0,394298310,5,4.140167675364619,2.6104144902330413,394298305.85983235,6.529753185131578,314,11:51:14,2023-11-22
0,394767685,5,4.996279392796905,5.0,394767680.0037206,4.996279392796905,308,11:51:14,2023-11-22
0,395009025,5,4.697047734660885,1.4591054201222111,395009020.3029523,8.237942314538675,316,11:51:14,2023-11-22
0,395298080,5,1.766748568660523,5.0,395298078.23325145,1.766748568660523,309,11:51:14,2023-11-22
0,395421695,5,3.575802629812715,1.7618023496728783,395421691.4241974,6.814000280139837,315,11:51:14,2023-11-22
0,396316155,10,1.4684580052876397,2.9155261668116004,396316153.531542,8.552931838476038,317,11:51:14,2023-11-22
0,396892535,5,2.0417889846681803,3.859218059681458,396892532.958211,3.1825709249867224,310,11:51:14,2023-11-22
0,397267150,10,1.4684580052876397,4.717474597736704,397267148.531542,6.750983407550936,313,11:51:14,2023-11-22
0,397513210,5,1.766748568660523,2.289471994770723,397513208.23325145,4.4772765738898,311,11:51:14,2023-11-22
0,398662350,5,3.2169318268035463,2.6104144902330413,398662346.7830682,5.606517336570505,313,11:51:14,2023-11-22
0,398858090,5,4.697047734660885,3.586833135873657,398858085.3029523,6.110214598787229,312,11:51:14,2023-11-22
0,399555915,10,0.5512480813339325,4.717474597736704,399555914.4487519,5.833773483597229,312,11:51:14,2023-11-22
0,399602070,30,2.608700092796321,3.586833135873657,399602067.3912999,29.021866956922665,657,11:51:14,2023-11-22
0,399643855,10,0.5512480813339325,4.717474597736704,399643854.4487519,5.833773483597229,312,11:51:14,2023-11-22
0,399704355,10,1.1463190792737374,4.158063066480685,399704353.8536809,6.988256012793052,312,11:51:14,2023-11-22
0,399766250,5,2.0417889846681803,0.8755974857449678,399766247.958211,6.1661914989232125,312,11:51:14,2023-11-22
0,399935170,30,3.575802629812715,0.5426031410679164,399935166.4241974,33.0331994887448,785,11:51:14,2023-11-22
0,400080585,10,0.5512480813339325,2.9155261668116004,400080584.4487519,7.635721914522332,315,11:51:14,2023-11-22
0,400236110,5,3.575802629812715,2.9155261668116004,400236106.4241974,5.660276463001114,313,11:51:14,2023-11-22
0,400293005,10,0.5512480813339325,2.9155261668116004,400293004.4487519,7.635721914522332,314,11:51:14,2023-11-22
0,400336730,5,2.0417889846681803,4.404031679146508,400336727.958211,2.6377573055216725,310,11:51:14,2023-11-22
0,400927740,25,0.2391985666178367,3.586833135873657,400927739.76080143,21.65236543074418,433,11:51:14,2023-11-22
0,402786680,5,3.575802629812715,2.9155261668116004,402786676.4241974,5.660276463001114,312,11:51:14,2023-11-22
0,403256780,5,2.2965557390730877,3.859218059681458,403256777.70344424,3.43733767939163,310,11:51:14,2023-11-22
0,404139035,10,4.996279392796905,4.717474597736704,404139030.0037206,10.2788047950602,318,11:51:14,2023-11-22
0,404902475,25,0.5512480813339325,1.1396219863081656,404902474.4487519,24.411626095025767,447,11:51:14,2023-11-22
0,405758625,5,0.8853367222471884,1.7618023496728783,405758624.1146633,4.12353437257431,311,11:51:14,2023-11-22
0,405779845,5,3.575802629812715,1.4591054201222111,405779841.4241974,7.1166972096905035,313,11:51:14,2023-11-22
0,406036655,5,3.575802629812715,5.0,406036651.4241974,3.575802629812715,308,11:51:14,2023-11-22
0,407148065,5,2.0417889846681803,3.586833135873657,407148062.958211,3.454955848794523,312,11:51:14,2023-11-22
0,407320405,5,4.996279392796905,3.223709168159773,407320400.0037206,6.772570224637132,316,11:51:14,2023-11-22
0,407885595,5,3.575802629812715,0.8755974857449678,407885591.4241974,7.700205144067747,314,11:51:14,2023-11-22
0,407892020,5,2.9171311346247,4.990056494867021,407892017.0828689,2.927074639757679,308,11:51:14,2023-11-22
0,407927820,5,1.1463190792737374,3.223709168159773,407927818.8536809,2.9226099111139643,309,11:51:14,2023-11-22
0,408182310,5,0.2391985666178367,0.8755974857449678,408182309.76080143,4.363601080872869,311,11:51:14,2023-11-22
0,408626200,10,3.2169318268035463,4.717474597736704,408626196.7830682,8.499457229066842,314,11:51:14,2023-11-22
0,410137810,5,1.1463190792737374,1.1396219863081656,410137808.8536809,5.006697092965572,313,11:51:14,2023-11-22
0,410147110,5,1.4684580052876397,0.8755974857449678,410147108.531542,5.592860519542672,310,11:51:14,2023-11-22
0,410153480,10,1.1463190792737374,4.158063066480685,410153478.8536809,6.988256012793052,314,11:51:14,2023-11-22
0,410196445,10,0.8853367222471884,4.404031679146508,410196444.1146633,6.481305043100681,314,11:51:14,2023-11-22
0,410311030,5,2.0417889846681803,3.586833135873657,410311027.958211,3.454955848794523,311,11:51:14,2023-11-22
0,410422230,5,3.2169318268035463,1.1396219863081656,410422226.7830682,7.0773098404953805,330,11:51:14,2023-11-22
0,410480040,5,2.608700092796321,0.5426031410679164,410480037.3912999,7.0660969517284045,314,11:51:14,2023-11-22
0,410483275,5,3.2169318268035463,4.717474597736704,410483271.7830682,3.4994572290668424,309,11:51:14,2023-11-22
0,411845975,5,3.575802629812715,4.158063066480685,411845971.4241974,4.417739563332029,310,11:51:14,2023-11-22
0,412149510,5,0.5512480813339325,3.859218059681458,412149509.4487519,1.6920300216524748,309,11:51:14,2023-11-22
0,412160295,5,1.766748568660523,4.158063066480685,412160293.23325145,2.6086855021798376,308,11:51:14,2023-11-22
0,412372315,5,3.575802629812715,5.0,412372311.4241974,3.575802629812715,308,11:51:14,2023-11-22
0,412706440,5,2.0417889846681803,0.5426031410679164,412706437.958211,6.499185843600264,310,11:51:14,2023-11-22
0,414212930,5,3.575802629812715,2.9155261668116004,414212926.4241974,5.660276463001114,325,11:51:14,2023-11-22
0,416034425,5,4.393103307400945,5.0,416034420.6068967,4.393103307400945,310,11:51:14,2023-11-22
0,416504280,5,0.5512480813339325,2.9155261668116004,416504279.4487519,2.6357219145223323,309,11:51:14,2023-11-22
0,416616735,5,3.2169318268035463,0.8755974857449678,416616731.7830682,7.3413343410585785,316,11:51:14,2023-11-22
0,416663875,10,0.5512480813339325,3.223709168159773,416663874.4487519,7.327538913174159,314,11:51:14,2023-11-22
0,417002480,10,0.8853367222471884,1.1396219863081656,417002479.1146633,9.745714735939023,317,11:51:14,2023-11-22
0,418204840,5,0.5512480813339325,2.9155261668116004,418204839.4487519,2.6357219145223323,310,11:51:14,2023-11-22
0,418228610,5,1.766748568660523,2.9155261668116004,418228608.23325145,3.851222401848923,309,11:51:14,2023-11-22
0,418559185,10,3.2169318268035463,4.990056494867021,418559181.7830682,8.226875331936526,316,11:51:14,2023-11-22
