Time fine (u=ns),T.o.t. fine (u=ns)
0.0,0.0
0.23919856661783676,0.22978032367823606
0.5512480813339325,0.5426031410679164
0.8853367222471884,0.8755974857449678
1.1463190792737374,1.1396219863081656
1.4684580052876395,1.4591054201222111
1.766748568660523,1.7618023496728785
2.0417889846681803,2.0351210729355738
2.2965557390730873,2.289471994770723
2.608700092796321,2.6104144902330413
2.9171311346247,2.9155261668116004
3.2169318268035463,3.223709168159773
3.575802629812715,3.586833135873657
3.843686348435594,3.859218059681458
4.140167675364619,4.158063066480685
4.393103307400945,4.404031679146508
4.697047734660885,4.717474597736704
4.996279392796905,4.990056494867021
4.996279392796905,4.990056494867021
5.0,5.0
